Ticker,Adoption,Stage,HG,LTG_W,LTG_M,Derection,LTG_W-HG
QTUM,150,3.2,14,15.1,16.7,1.1,> 0
AIQ,463,3.6,24.2,18,21.8,-6.2,<0
CLOU,168,2.6,23.9,16.1,27.2,-7.8,<0
CIBR,49,6.4,14.8,10.2,12.4,-4.6,<0
LIT,94,11.4,15.5,21.9,46.4,6.4,> 5
IDRV,407,2.6,11.3,27.8,36.9,16.5,> 15
META,603,0.4,22.6,15.5,20.6,-7.1,<0
ESPO,164,3.1,22.9,12.1,14.8,-10.8,<0
SOCL,318,10.1,20.7,14.7,29.7,-6,<0
BKCH,33,0.4,1.1,11.6,44,10.5,> 10
IPAY,90,6.4,9.7,18.1,22.2,8.4,> 5
ARKF,105,2.8,11,18.7,26.6,7.7,> 5
FIVG,131,2.7,13.5,17.8,20.1,4.3,> 0
SNSR,37,5.2,7.6,17.6,23.1,10,> 5
ARKW,177,7.2,5.2,18.4,25.4,13.2,> 10
ARKX,117,0.7,12.6,7.7,20.6,-4.9,<0
PRNT,118,5.4,4,10.7,25.2,6.7,> 5
BOTZ,116,5.2,13.1,35.3,26.3,22.2,> 20
ARKK,153,7.1,1.3,18,30,16.7,> 15
AWAY,19,1.8,4.5,12.6,135.4,8.1,> 5
BETZ,8,1.5,9.5,5.2,15.1,-4.3,<0
ONLN,477,3.4,30.6,16.4,28.6,-14.2,<0
EMQQ,145,7.1,16.7,11.6,34.9,-5.1,<0
MILN,337,5.6,17.9,22.9,37.7,5,> 0
MJ,14,6,2.8,2.2,8.9,-0.6,<0
ARKG,15,7.1,5.9,0.2,12.6,-5.7,<0
EDOC,38,1.3,4.6,4.2,14.2,-0.4,<0
BFIT,25,5.6,11.1,23,37.6,11.9,> 10
AGNG,88,5.6,11.3,7.7,13.2,-3.6,<0
ICLN,20,13.4,5.4,9.4,17.7,4,> 0
PBW,27,16.8,1.7,4.8,15.8,3.1,> 0
HYDR,13,0.4,2.3,2.1,23.6,-0.2,<0
TAN,10,13.6,3.3,17.8,31.9,14.5,> 10
FAN,26,13.5,7.3,6.2,17.7,-1.1,<0
EVX,24,15.2,11.8,7.7,16.9,-4.1,<0
PHO,36,16,9.3,6.7,14,-2.6,<0
REMX,9,11.1,6.8,11.4,56.4,4.6,> 0
PAVE,30,4.7,13.1,13.8,24,0.7,> 0
